Default Weights,Q121,Parents,Q127,Q128,Q129.1,NBA Fans,Q129.3,Q129.4,Q129.5,Q129.6,Q129.7,Q129.8,Version,Creatives,ProductAssociation_SmartSpeakers,ProductAssociation_SmartDisplays,ProductAssociation_Thermostats,ProductAssociation_SecurityCamera,ProductAssociation_Doorbells,ProductAssociation_SecuritySystems,ProductAssociation_Wifi,ProductAssociation_Smartphones,ProductAssociation_Noneoftheabove,ProductAssociation_IDK,Aided Awareness_GoogleNest,Aided Awareness_Amazon,Aided Awareness_Samsung,Aided Awareness_Apple,Aided Awareness_None,Consideration_GoogleNest,Consideration_Amazon,Consideration_Samsung,Consideration_Apple,Consideration_None,Purchase Intent,Perception_Easier,Perception_Helpful,Perception_ProductRange,Perception_Seamless,Perception_NotSeamless,Perception_None,CategoryConsideration_Speakers,CategoryConsideration_Displays,CategoryConsideration_Thermostats,CategoryConsideration_SecurityCameras,CategoryConsideration_Doorbells,CategoryConsideration_SecuritySystem,CategoryConsideration_Wifi,CategoryConsideration_Smartphones,CategoryConsideration_None,Enjoyment,Q166,Q167,Q168,Understanding,Relevance,Branding,Brand Appeal,Distinctiveness,Q175,Q176,Q177
1.851851821,13,0,0,1,2,2,2,2,2,2,1,1,0,Control,2,1,2,2,1,2,2,2,1,1,2,2,2,2,1,2,2,1,2,1,3,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,,,,,,,,,,,,
0.806451619,14,0,1,1,1,2,1,2,1,1,1,1,1,Mini Xmas V1 :06s,1,1,2,2,1,1,2,2,1,1,2,1,1,1,1,1,2,1,1,1,0,1,1,1,2,1,1,1,1,2,2,1,1,1,2,1,0,0,0,1,0,0,0,0,0,Makes life easier ,Nothing ,It was very relevant to me and my lifestyle 
0.625,29,0,1,0,1,1,1,1,1,1,1,2,3,Hub Baby :06s,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,4,2,1,2,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,2,1,Really easy to use,No dislikes,Cute.  Everything looked easy to use...simple...
0.92592591,16,0,1,1,1,1,1,2,1,1,1,1,2,Mini Xmas V2 :15s,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,0,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,0,1,1,1,1,1,Make your life eadier,Nothing,Fun
1.851851821,15,1,0,1,2,1,1,2,1,1,1,1,0,Control,1,1,1,2,2,1,1,1,1,1,2,2,1,2,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,,,,,,,,,,,,
0.92592591,16,1,1,1,1,1,1,1,2,1,1,1,2,Mini Xmas V2 :15s,2,1,1,2,2,1,2,2,1,1,2,2,1,2,1,2,2,1,1,1,0,2,2,1,1,1,1,2,1,1,2,2,1,1,1,1,2,1,1,1,0,1,0,1,2,Makes your life easier ,Nothing,The Christmas tree lighting theme. Very relevant 
0.92592591,14,0,1,0,1,2,2,1,1,1,1,1,2,Mini Xmas V2 :15s,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,2,1,1,4,2,2,2,2,1,1,2,1,2,2,1,1,2,2,1,1,0,0,0,0,1,0,1,1,Making things easier in your everyday lives.,Nothing,Christmad tree. Relevant info. Real life issues. 
0.806451619,17,0,1,1,1,1,1,2,1,1,1,1,1,Mini Xmas V1 :06s,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,3,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,,,,,,,,,,,,
1.724137902,9,2,0,1,1,1,2,2,2,2,1,1,0,Control,2,1,2,2,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,3,2,2,2,2,2,1,2,2,1,2,1,2,2,1,1,,,,,,,,,,,,
0.833333313,26,2,0,1,1,1,1,1,1,2,1,1,0,Control,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,,,,,,,,,,,,
0.806451619,13,1,1,1,2,2,2,2,1,2,1,1,1,Mini Xmas V1 :06s,2,2,2,2,2,2,1,1,1,1,2,2,1,2,1,2,1,1,2,1,4,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,,,,,,,,,,,,
2,17,1,0,1,2,2,2,2,1,2,1,1,3,Hub Baby :06s,2,1,2,2,2,2,1,2,1,1,2,1,2,2,1,2,1,1,1,1,1,2,1,2,1,2,1,2,1,1,2,2,2,2,2,1,0,1,1,1,1,1,1,1,1,Helping with everday tasks,Too short,Its simple
1.086956501,11,1,1,1,1,1,1,2,1,1,1,1,0,Control,2,1,1,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,2,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,,,,,,,,,,,,
0.75757575,27,0,0,0,1,2,1,2,1,1,1,1,1,Mini Xmas V1 :06s,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,2,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,3,2,Hh,Hh,Gh
0.847457647,8,0,1,1,1,1,1,2,1,1,1,1,0,Control,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,1,1,1,2,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,,,,,,,,,,,,
0.632911384,26,1,1,1,1,1,1,1,2,1,1,1,0,Control,2,1,2,2,2,2,1,1,1,1,2,2,2,2,1,2,1,1,2,1,0,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,,,,,,,,,,,,
0.833333313,22,1,0,0,2,2,2,2,2,2,1,1,0,Control,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,0,2,1,2,2,1,1,1,2,2,2,2,2,2,1,1,,,,,,,,,,,,
0.625,24,0,1,0,1,1,1,2,2,1,1,1,3,Hub Baby :06s,2,2,2,2,2,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,4,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,3,3,3,1,1,2,3,2,2,No other ides,Evrrything,Nothing
0.806451619,15,0,1,0,2,2,1,2,1,2,1,1,1,Mini Xmas V1 :06s,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,0,2,1,2,1,1,1,2,2,2,1,1,2,2,1,1,1,0,1,0,0,1,0,1,1,has the ability to play your favourite Christmas songs list,too short,none
0.847457647,9,0,1,0,1,2,2,2,1,1,1,1,0,Control,2,2,1,1,1,1,2,2,1,1,2,2,2,2,1,2,2,2,2,1,1,2,2,2,1,2,1,1,1,1,1,1,1,2,1,1,,,,,,,,,,,,
0.714285731,18,2,1,1,2,2,2,2,2,2,1,1,1,Mini Xmas V1 :06s,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,1,2,1,0,2,2,2,2,1,1,2,1,1,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,You can ask it to play the holiday playlist ,Nothinf,Everything 
0.92592591,15,2,1,0,2,1,2,2,2,2,1,1,2,Mini Xmas V2 :15s,2,2,2,2,1,1,2,2,1,1,1,2,2,1,1,2,2,2,1,1,0,2,1,2,2,2,1,2,2,1,2,1,1,2,2,1,0,1,0,1,0,0,4,0,0,,Nothing,Everything
0.632911384,27,2,1,1,1,1,1,1,1,1,1,2,0,Control,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,1,2,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,,,,,,,,,,,,
0.657894731,28,0,1,0,1,1,1,1,1,1,1,2,2,Mini Xmas V2 :15s,2,1,2,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,2,1,2,1,Make life easier for you.,Nothing.,Appealing and impressive.
0.806451619,21,0,0,0,2,1,2,2,1,1,1,1,3,Hub Baby :06s,1,1,2,1,2,1,2,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,0,1,1,1,0,2,1,Great idea for families ,Nothing ,The ad was nice
0.833333313,30,1,0,0,2,2,2,2,2,2,1,1,0,Control,2,1,1,2,1,1,2,2,1,1,2,2,2,2,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,2,2,1,1,1,,,,,,,,,,,,
0.714285731,20,2,1,1,1,1,1,1,1,1,1,2,1,Mini Xmas V1 :06s,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,1,1,4,2,2,2,1,1,1,2,1,1,1,1,1,2,2,1,2,0,0,1,0,1,0,1,1,"You can tell it to do things, like play music and it will",Nothing ,I liked the music.
0.806451619,13,0,1,1,1,1,1,1,2,1,1,1,1,Mini Xmas V1 :06s,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1,2,1,1,2,1,4,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,0,0,0,0,1,2,That you can ask it to do multiple things ,Nothing ,It is a happy simple ad 
0.806451619,13,0,1,0,1,2,1,2,1,1,1,1,1,Mini Xmas V1 :06s,2,1,1,2,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,0,2,1,2,1,2,1,2,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,It can play music for you by just being asked. Voice command works.,Nothing.,Everything.
0.714285731,29,1,1,1,2,2,2,1,1,1,1,1,1,Mini Xmas V1 :06s,1,1,1,2,1,2,2,1,1,1,2,2,1,2,1,2,2,1,2,1,3,2,1,1,1,2,1,1,2,1,1,2,1,1,2,1,,,,,,,,,,,,
0.806451619,24,0,0,1,2,2,1,2,1,1,1,1,3,Hub Baby :06s,2,1,1,2,1,2,2,2,1,1,2,2,2,2,1,2,2,1,2,1,4,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,3,3,0,1,2,2,3,Photo display ,Vague ,Brief
0.75757575,28,2,0,1,1,1,1,1,2,1,1,1,1,Mini Xmas V1 :06s,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,2,1,1,1,1,0,2,2,2,2,1,1,2,2,2,1,1,2,1,1,1,0,0,0,0,0,0,0,0,1,Smart home technology is easy to use,Nothing much,Simplicity 
0.657894731,31,0,1,1,1,1,1,1,1,1,1,2,2,Mini Xmas V2 :15s,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,2,1,4,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,0,0,0,0,1,2,0,1,,It was a cute add ,I like that it lights up the lights convenient 
0.632911384,19,1,1,1,1,1,2,2,2,1,1,1,0,Control,2,2,2,2,2,2,2,1,1,1,2,1,2,2,1,2,2,2,2,1,0,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,,,,,,,,,,,,
0.943396211,9,0,1,0,1,1,2,2,1,2,1,1,3,Hub Baby :06s,2,2,1,2,1,1,2,2,1,1,1,2,2,1,1,2,2,1,1,1,2,1,2,2,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,Staying connected ,Nothing,Nothing
0.625,21,2,1,1,1,1,1,2,1,1,2,1,3,Hub Baby :06s,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,2,2,1,1,1,4,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,0,0,1,1,2,1,It is easy to use ,Nothing ,Cute baby:))
0.714285731,26,1,1,1,1,1,1,1,1,1,1,2,1,Mini Xmas V1 :06s,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,0,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,0,0,0,1,1,2,2,Easy entertaining ,Nothing ,Simplicity 
0.714285731,32,1,1,1,2,1,1,2,2,1,1,1,1,Mini Xmas V1 :06s,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,1,It can perform many things for your hime,Nothing,All of it 
2.173913002,16,1,0,0,1,1,1,1,2,1,1,1,1,Mini Xmas V1 :06s,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,1,1,3,2,0,2,1,Assus,*&@!#,*&@!#
0.657894731,25,0,1,1,1,1,1,2,1,1,1,1,2,Mini Xmas V2 :15s,2,1,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,1,2,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,0,2,3,2,2,,,
1.724137902,7,0,0,1,2,2,2,2,1,2,1,1,1,Mini Xmas V1 :06s,2,2,2,2,2,1,2,2,1,1,1,2,2,2,1,1,1,2,2,1,3,2,1,1,2,2,1,1,2,1,2,1,2,2,2,1,0,0,1,1,0,1,0,0,0,Yy,Tt,Tt
0.714285731,23,2,1,1,1,1,1,2,2,1,1,1,1,Mini Xmas V1 :06s,2,2,2,2,1,2,1,2,1,1,2,2,2,2,1,2,2,1,1,1,4,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,0,1,0,1,1,2,2,Nothing,Nothing,Quick to the point
0.833333313,31,1,0,1,1,1,1,2,2,2,1,1,0,Control,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,3,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,,,,,,,,,,,,
0.833333313,26,2,0,1,1,2,2,2,1,1,1,1,0,Control,2,1,1,1,1,1,2,2,1,1,1,2,1,2,1,1,1,1,2,1,3,2,1,1,1,1,1,2,1,1,2,2,2,1,2,1,,,,,,,,,,,,
0.724637687,18,1,0,0,1,2,1,1,1,1,1,1,2,Mini Xmas V2 :15s,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,2,1,1,1,1,0,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,0,0,1,0,0,0,1,0,0,Safe and secure,Nothing,Funny and reality
1.724137902,5,0,0,1,1,2,1,1,1,1,1,1,0,Control,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,2,1,4,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,,,,,,,,,,,,
0.75757575,26,1,0,1,2,2,2,2,1,2,1,1,1,Mini Xmas V1 :06s,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,0,0,1,1,1,1,1,That it can control the home,Nothing,It was simple
0.806451619,26,0,0,0,2,2,2,2,2,1,1,1,3,Hub Baby :06s,2,1,2,2,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2,1,2,1,1,1,1,2,1,1,1,2,1,2,2,1,1,1,2,1,2,0,1,1,1,1,1,Rwe,Cvgd,Vcdd
1.851851821,13,0,0,1,1,1,1,1,1,1,2,1,0,Control,1,2,1,2,1,2,1,2,1,1,1,1,1,2,1,2,2,2,2,1,3,2,1,1,1,1,1,2,2,1,2,2,2,1,2,1,,,,,,,,,,,,
2.173913002,16,0,0,1,1,2,1,1,1,2,1,1,1,Mini Xmas V1 :06s,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,2,1,3,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,3,1,3,2,1,1,2,2,Changing lifestyle ,Too simple,Quality
0.625,30,1,1,1,1,1,1,1,1,1,1,2,3,Hub Baby :06s,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,1,1,2,1,0,2,2,2,2,1,1,2,1,2,2,2,1,1,1,1,0,0,1,1,0,0,0,1,1,It can display photos,Nothing. It was very cute!,Picture of the baby was cute- also memorable.
1.724137902,6,0,0,1,1,1,1,2,1,1,1,1,1,Mini Xmas V1 :06s,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,3,1,2,1,2,2,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,3,2,1,Get u interested in buying the product,Too short,Nice gingle
0.833333313,26,2,0,0,1,1,1,2,1,1,1,1,0,Control,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,,,,,,,,,,,,
0.806451619,24,1,0,0,1,1,1,1,1,1,2,1,3,Hub Baby :06s,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,4,3,2,none,none,none
1.724137902,8,0,0,1,1,1,2,1,1,1,1,1,1,Mini Xmas V1 :06s,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,Tests,Nothing,The quality
0.75757575,20,1,0,0,2,2,2,2,2,2,1,1,1,Mini Xmas V1 :06s,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,2,2,2,2,1,0,2,2,2,2,1,1,2,2,2,1,1,2,1,2,1,1,1,1,0,0,0,0,1,0,It can interact with other devices.,It should have been a bit longer.,It told us that Google playlist could be played by telling it to play it.
0.75757575,30,1,0,0,1,1,1,1,1,1,1,2,1,Mini Xmas V1 :06s,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,1,1,0,2,1,2,1,1,1,1,2,1,1,2,1,1,2,1,2,1,0,1,0,1,1,2,1,Make life easier,Not very unique,Short and to the point
0.833333313,23,0,0,1,2,2,1,2,1,2,1,1,0,Control,1,2,1,2,2,2,1,1,1,1,2,2,2,2,1,1,2,2,2,1,4,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,,,,,,,,,,,,
0.714285731,31,0,1,1,1,1,2,1,1,1,1,1,1,Mini Xmas V1 :06s,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,1,3,1,2,2,1,1,1,1,1,2,2,2,1,1,1,1,3,3,3,3,1,2,3,2,2,Seems to be aiming at the Christmas shopping to boost sales,Nothing particular ,Nothing 
1.851851821,17,0,0,1,1,1,2,2,2,1,1,1,0,Control,2,2,2,2,2,1,2,1,1,1,2,2,2,1,1,2,2,1,2,1,3,2,2,2,2,1,1,2,1,2,2,1,1,2,1,1,,,,,,,,,,,,
1,4,0,1,1,1,2,1,1,1,2,1,1,1,Mini Xmas V1 :06s,2,2,1,1,1,2,1,1,1,1,2,2,1,2,1,2,2,2,2,1,0,1,2,1,2,1,1,1,1,2,1,1,2,1,1,1,1,0,1,1,1,0,1,1,1,That’s it’s small and useful,"Nothing, it was short and interesting",It was fairly short and entertaining
0.75757575,28,0,0,1,1,1,1,2,1,1,1,1,1,Mini Xmas V1 :06s,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,3,1,0,3,1,2,2,Convenice,The “hey google” womens vocice,It was short 
2,11,1,0,1,2,2,2,2,2,2,1,1,3,Hub Baby :06s,2,2,2,2,2,2,2,2,1,1,1,2,1,2,1,1,1,1,2,1,1,2,1,2,1,1,1,2,1,2,1,2,1,2,2,1,0,1,0,0,0,1,1,1,0,Yes it is unused and wonderful ,It was unusual ,It was nice looking 
0.625,24,0,1,1,1,1,1,1,2,1,1,1,3,Hub Baby :06s,2,1,1,2,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,4,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,0,1,1,0,1,1,2,1,Convenient ,Nothing,Cute
0.833333313,32,0,0,0,1,1,1,2,1,1,1,1,0,Control,1,1,2,1,2,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,0,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,,,,,,,,,,,,
0.833333313,20,1,0,1,2,2,2,2,2,1,2,1,0,Control,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,2,2,1,2,2,1,1,,,,,,,,,,,,
0.724637687,21,2,0,1,2,2,2,2,1,1,1,1,2,Mini Xmas V2 :15s,2,1,2,2,1,2,2,2,1,1,2,2,1,1,1,2,2,2,2,1,0,1,2,1,2,2,1,2,1,1,2,1,1,2,1,1,1,0,0,1,1,0,0,0,0,I like how they focused on a parent or father going behind the Christmas tree to plug it in. ,Nothing ,It was very forward thinking. It’s something that will tie in all members of the family 
0.75757575,18,0,0,1,1,1,1,1,1,1,2,1,1,Mini Xmas V1 :06s,2,1,1,1,1,1,2,1,1,1,2,2,1,2,1,2,2,1,1,1,0,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,It can play music by voice,Nothing ,Nice music 
0.724637687,18,0,0,1,2,2,2,2,1,2,1,1,2,Mini Xmas V2 :15s,1,1,1,1,1,1,2,2,1,1,2,2,2,2,1,2,2,2,2,1,3,1,2,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,0,0,0,1,0,1,1,Great,Nothing,Handy
0.833333313,30,1,0,0,2,1,2,2,2,1,1,1,0,Control,2,1,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,1,1,2,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,,,,,,,,,,,,
0.806451619,12,0,1,1,1,1,1,2,1,1,1,1,1,Mini Xmas V1 :06s,2,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,1,3,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,0,0,0,0,0,Nothing,Nothing,It was quick
1.724137902,6,0,0,1,2,2,2,1,1,2,1,1,1,Mini Xmas V1 :06s,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,2,2,2,1,3,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,0,0,0,1,0,0,1,0,0,Brilliant ,Nothing,Information 
0.75757575,23,1,0,0,2,2,2,2,2,2,1,1,1,Mini Xmas V1 :06s,2,2,2,2,1,2,2,2,1,1,2,2,2,1,1,2,2,2,1,1,2,2,2,1,1,2,1,2,2,2,2,1,1,2,2,1,1,1,0,1,0,0,1,1,1,Can ask any things and easy to do,,Simple and easy
0.806451619,25,0,0,1,1,1,1,2,1,1,2,1,3,Hub Baby :06s,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,2,2,1,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,3,3,3,3,2,3,4,3,3,Nothing to do with smart technology ,Should a pic of a baby. For home technology ,Nothing 
1.5625,9,0,0,1,1,2,1,1,2,2,1,1,3,Hub Baby :06s,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,0,1,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,0,0,1,0,0,1,1,1,,,
0.75757575,20,1,0,0,2,2,2,2,1,2,1,1,1,Mini Xmas V1 :06s,1,1,2,1,2,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,0,2,1,1,1,1,1,2,2,1,2,1,2,1,1,1,0,0,0,0,0,0,2,1,1,Nice,None,Nice
1.666666627,16,0,0,1,1,1,1,2,1,1,1,1,2,Mini Xmas V2 :15s,2,1,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,2,1,1,1,1,1,2,1,1,1,2,2,2,1,1,1,2,1,1,1,0,1,1,2,2,That it makes your life easier,Nothing,Nothing
0.724637687,31,1,0,0,2,2,1,1,1,1,1,1,2,Mini Xmas V2 :15s,2,2,1,1,2,2,1,2,1,1,1,1,2,1,1,1,2,1,2,1,3,2,2,1,1,1,1,2,2,1,1,2,1,1,1,1,1,0,0,1,1,1,0,1,1,Hands free christmas tree lights,Too short,Cheerful
