Default Weights,Q121,Parents,Q127,Q128,Q129.1,NBA Fans,Q129.3,Q129.4,Q129.5,Q129.6,Q129.7,Q129.8,Version,Creatives,ProductAssociation_SmartSpeakers,ProductAssociation_SmartDisplays,ProductAssociation_Thermostats,ProductAssociation_SecurityCamera,ProductAssociation_Doorbells,ProductAssociation_SecuritySystems,ProductAssociation_Wifi,ProductAssociation_Smartphones,ProductAssociation_Noneoftheabove,ProductAssociation_IDK,Aided Awareness_GoogleNest,Aided Awareness_Amazon,Aided Awareness_Samsung,Aided Awareness_Apple,Aided Awareness_None,Consideration_GoogleNest,Consideration_Amazon,Consideration_Samsung,Consideration_Apple,Consideration_None,Purchase Intent,Perception_Easier,Perception_Helpful,Perception_ProductRange,Perception_Seamless,Perception_NotSeamless,Perception_None,CategoryConsideration_Speakers,CategoryConsideration_Displays,CategoryConsideration_Thermostats,CategoryConsideration_SecurityCameras,CategoryConsideration_Doorbells,CategoryConsideration_SecuritySystem,CategoryConsideration_Wifi,CategoryConsideration_Smartphones,CategoryConsideration_None,Enjoyment,Q166,Q167,Q168,Understanding,Relevance,Branding,Brand Appeal,Distinctiveness,Q175,Q176,Q177
1.572916627,16,0,0,1,1,1,1,2,1,1,1,1,1,B- Raptors :15s,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,3,1,3,1,0,2,0,2,2,It was easy to use ,Nothing ,Nothing 
1.595744729,15,2,0,0,2,2,2,2,2,2,1,1,3,D- Photos :15s,2,2,1,2,2,2,2,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,0,1,0,0,0,0,0,1,Just that you can stay in Touch,None,The product
1.595744729,15,2,0,0,1,2,2,2,2,2,1,1,3,D- Photos :15s,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,1,2,2,1,2,1,2,1,2,1,2,1,0,0,1,1,0,1,1,That Google smart products specifically Google Nest can make life easier and more convenient.,Nothing really.,The delivery and narration of the message.
0.629166663,12,1,1,1,1,1,1,2,1,1,1,1,1,B- Raptors :15s,1,1,1,1,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,0,2,2,2,1,1,1,2,1,1,2,1,1,1,1,1,0,0,0,0,0,0,4,0,0,Wifi connectivity ,No comments ,Very interesting 
0.629166663,12,2,1,0,1,1,1,1,1,1,1,2,1,B- Raptors :15s,2,2,2,2,2,2,1,2,1,1,2,2,1,1,1,1,1,1,1,2,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,1,1,3,2,2,Saves you from doing things yourself / getting up ,It was long ,Nothing 
0.707943916,10,1,1,1,1,2,1,1,1,1,1,1,5,F- Frozen :15s,1,2,2,1,2,1,1,2,1,1,2,1,2,2,1,1,1,1,2,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,0,0,1,2,1,1,It can appeal to all types of ages but especially the younger ones.,A little boring,it included Frozen 2 which many viewers are exited to meet. I think it was a good idea to add something a lot of people in the society likes.
0.815217376,4,0,1,1,2,2,1,2,1,1,1,1,3,D- Photos :15s,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,0,1,1,1,0,2,1,0,Wireless ,Sound,Colour
0.773195863,6,0,1,0,2,1,2,2,1,1,1,1,2,C- Raptors :30s,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2,1,0,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,2,"Google Nest can help you complete almost every task, using your voice. You can get two Nest Hubs for $199",Nothing to complain about. It was nice.,Nothing in particular. 
1.102941155,25,0,0,0,1,1,1,1,1,1,1,2,2,C- Raptors :30s,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,1,1,1,1,0,2,1,1,1,1,1,2,1,1,2,1,1,2,2,1,3,3,3,3,1,3,2,2,2,You can buy to Google nest device for $199,I don't like sports so I don't like basketball so I have no idea what they're talking about in this ad,Just the end where it says you can buy two Google Best Buy for 199
0.773195863,12,1,1,1,1,2,2,2,1,1,1,1,2,C- Raptors :30s,1,1,2,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,2,1,0,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,0,1,3,1,1,D’être joignable partout ,The longer of the video,The raptor’s player
1.595744729,9,2,0,1,2,2,2,2,1,1,1,1,3,D- Photos :15s,1,1,2,1,2,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,0,1,1,2,1,1,None,Nothing,Oh dang really good morning 
1.442307711,14,0,0,0,2,1,1,1,1,1,1,1,2,C- Raptors :30s,1,1,2,1,1,1,1,2,1,1,2,1,2,1,1,2,1,1,1,1,4,2,1,1,2,1,1,1,2,2,1,1,1,2,1,1,2,3,0,1,1,1,1,2,2,It's uses,I live in a condo ,Pascal siakam 
1.415094376,4,2,0,1,1,1,1,1,1,1,1,2,0,A- Control,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,2,1,3,2,1,1,1,1,1,2,2,1,2,2,2,1,1,1,,,,,,,,,,,,
0.789473712,14,0,1,1,2,1,1,1,1,1,1,1,0,A- Control,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,3,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,,,,,,,,,,,,
0.789473712,11,2,1,0,1,1,2,1,1,1,1,1,0,A- Control,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,2,1,1,,,,,,,,,,,,
0.815217376,17,1,1,1,1,1,2,1,1,1,1,1,3,D- Photos :15s,1,1,1,1,1,1,2,2,1,1,1,2,2,2,1,1,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,1,1,1,2,1,It shows pictures on its main screen ,It didn’t explain what all  It does besides showing pictures ,It was cute 
0.882352948,20,1,1,1,1,1,1,1,1,1,1,2,0,A- Control,2,2,1,2,1,1,1,2,1,1,2,2,2,2,1,1,1,1,1,2,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,,,,,,,,,,,,
1.595744729,15,0,0,0,2,2,2,2,2,1,1,1,3,D- Photos :15s,2,2,1,2,2,2,2,2,1,1,2,2,2,2,1,2,1,2,1,1,0,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,0,1,1,0,0,0,0,0,0,It shows photos,Nothing,Informative
1.572916627,15,1,0,1,2,2,1,2,1,2,1,1,1,B- Raptors :15s,2,1,2,1,1,1,2,1,1,1,1,2,1,2,1,1,2,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,2,1,1,0,2,2,1,0,1,1,0,I haven’t had a good one,Nothing really,I liked that it was gonna happen
1.037671208,23,0,0,0,1,2,1,1,1,1,1,1,5,F- Frozen :15s,2,1,1,1,1,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,4,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,0,0,0,0,0,0,0,1,,,
1.572916627,7,1,0,0,2,2,1,2,1,1,1,1,1,B- Raptors :15s,2,1,1,2,1,1,2,2,1,1,1,2,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,0,1,1,1,1,1,,,Music
1.048611164,30,2,0,0,2,2,2,2,2,2,1,1,1,B- Raptors :15s,1,1,2,1,2,1,2,2,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,Its convenient,Nothing,Pascal siakiam
1.217741966,31,0,1,1,1,1,1,1,1,1,1,2,1,B- Raptors :15s,1,1,2,1,1,1,2,2,1,1,1,2,2,2,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,0,0,1,1,2,1,1,,It was good ,It shows what it can do
0.815217376,7,0,1,1,1,1,1,1,1,1,1,2,3,D- Photos :15s,2,2,1,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,1,2,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,0,1,1,2,2,1,Shows photos,None,None
0.707943916,8,0,1,1,2,2,1,1,1,1,1,1,5,F- Frozen :15s,2,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,1,1,1,1,3,2,2,1,2,1,1,2,1,1,1,1,1,2,2,1,1,0,0,0,1,1,1,1,1,,,
1.027397275,18,2,0,0,1,1,2,2,1,1,1,1,3,D- Photos :15s,2,2,2,1,2,2,2,2,1,1,2,2,1,1,1,2,1,1,1,1,0,2,1,2,2,1,1,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,2,2,2,Funny ,Na,Na
1.102941155,24,1,0,0,2,1,1,2,2,2,1,1,2,C- Raptors :30s,2,2,1,1,1,2,1,2,1,1,2,2,2,2,1,2,2,2,2,1,0,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,0,1,0,0,0,0,0,0,1,Makes life easier,"Nothing, all good",I can identify with the actors
0.629166663,4,0,1,0,1,1,1,1,1,1,1,2,1,B- Raptors :15s,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,2,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,3,2,3,3,1,2,1,4,1,No idea,Everything,Nothing
0.629166663,11,2,1,1,1,1,1,2,1,1,1,1,1,B- Raptors :15s,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1,2,2,1,2,1,4,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,0,1,1,1,1,2,1,That it is able to control many aspects of smart technology throughout the home ,I have no idea what the purpose was of showing photos from a parade. ,"Short and sweet, to the point "
1.048611164,28,1,0,1,2,1,2,2,2,2,1,1,1,B- Raptors :15s,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,3,1,3,3,1,1,3,2,3,Nothing ,It’s dull,Nothing
0.707943916,3,0,1,1,2,1,2,1,1,1,1,1,5,F- Frozen :15s,2,1,2,1,2,2,2,2,1,1,1,2,2,2,1,1,2,1,2,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,0,0,1,3,2,2,It can read stories to you and you can speak to it. ,"Nothing, it was clear and easy to understand. ",It was cute and family friendly. 
1.442307711,2,1,0,1,1,2,1,1,1,1,1,1,2,C- Raptors :30s,2,2,2,1,1,2,1,2,1,1,2,1,2,1,1,2,2,1,2,1,0,1,2,1,1,2,1,1,2,1,1,1,1,1,2,1,0,0,0,3,0,1,0,0,0,Ik,Nothing,Mo
0.903614461,25,1,1,1,1,1,1,1,1,1,1,2,2,C- Raptors :30s,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,1,1,2,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,0,0,1,1,3,1,2,You can ask for what you need on demand while relaxing and doing what you normally do. ,Nothing. Just wasn’t unique so to speak ,The technology can respond to commands well. 
0.707943916,14,2,1,1,1,1,1,1,1,1,1,2,5,F- Frozen :15s,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,1,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,3,1,1,1,0,1,1,1,1,Good for the whole family ,Needs to show More things the device can do,Quiet and calm not annoying 
1.037671208,26,1,0,0,2,2,2,2,1,1,1,1,5,F- Frozen :15s,2,2,2,2,2,2,2,1,1,1,2,2,2,1,1,2,2,2,1,1,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,0,1,0,0,2,0,2,2,That it was a deal if you bought frozen 2,Nothing,It was sshort
0.808510661,2,0,1,0,1,1,1,1,1,1,1,2,4,E- Photos :30s,1,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,2,2,1,1,2,1,1,1,1,2,1,2,2,1,1,1,1,2,2,1,,,,,,,,,,,,
0.773195863,10,1,1,0,2,2,2,2,2,2,1,1,2,C- Raptors :30s,1,2,2,2,2,1,2,2,1,1,2,2,2,1,1,2,2,2,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,2,2,1,1,2,1,0,1,1,1,1,1,i love it,lol,love it
1.415094376,14,1,0,0,2,2,2,2,2,2,1,1,0,A- Control,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,1,2,1,0,2,2,1,1,1,1,1,1,2,1,1,1,2,2,1,,,,,,,,,,,,
0.852272749,29,1,1,1,1,1,2,2,1,1,1,1,3,D- Photos :15s,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,1,2,1,0,2,1,2,2,2,1,2,2,2,2,1,2,2,2,1,0,0,1,0,0,0,1,1,1,It can save photos too ,Nothing ,The voice and explanation of the woman with spontaneous laughter 
1.037671208,19,2,0,0,1,2,2,2,1,1,1,1,5,F- Frozen :15s,2,1,2,2,2,2,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,0,0,1,1,1,1,2,Easy convenient to use,More information about its features,Hearing and seeing Olaf
0.707943916,11,0,1,0,1,2,1,1,1,2,1,1,5,F- Frozen :15s,2,2,2,2,1,2,2,2,1,1,2,2,1,2,1,2,2,1,1,1,4,1,2,1,1,1,1,2,1,2,2,1,2,1,1,1,2,1,3,1,2,1,1,1,2,You get tickets for frozen,It isdifficukt to understand for no native English speaker,Olaf
0.946874976,28,1,1,1,2,1,1,2,1,1,1,1,5,F- Frozen :15s,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1,2,1,1,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,2,1,2,2,2,2,,,
1.217741966,28,0,1,1,2,1,2,2,2,1,1,1,1,B- Raptors :15s,2,1,1,2,1,2,2,1,1,1,1,2,2,2,1,1,1,1,2,1,4,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,1,3,3,1,1,2,2,2,Easy to use,It just seemed boring to me I guess,The very last comment he made “looking good.”
0.773195863,15,2,1,1,1,1,2,2,2,2,1,1,2,C- Raptors :30s,1,1,1,2,1,2,1,2,1,1,2,2,2,2,1,1,1,2,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,1,That you can always see abs hear and control what goes on ,Nothing. ,It was upbeat and showed the google working with many different lifestyles and different ways. 
0.844444454,28,1,1,1,2,2,1,2,2,1,1,1,4,E- Photos :30s,1,1,1,1,1,1,2,2,1,1,2,2,2,2,1,2,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,Good smart hone product,Nothing dislike,Like it all
1.572916627,5,0,0,1,1,1,1,1,1,1,1,2,1,B- Raptors :15s,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,2,1,3,1,1,1,1,2,1,2,2,1,2,1,1,1,1,1,2,0,1,0,0,0,1,1,0,It makes our life easy,Nothing ,Easy to understand 
0.903614461,21,0,1,0,1,1,1,1,1,1,1,2,2,C- Raptors :30s,2,2,2,2,2,2,1,1,1,1,2,2,2,2,1,1,1,1,1,2,0,1,2,1,2,1,1,2,2,2,2,2,2,2,2,1,2,1,0,0,0,0,1,1,1,To make life easier and more fun to share,Nothing it was a good ad,It was showing the ways you might use the smartscreen and how easy it is to fit into your life
0.844444454,25,1,1,0,1,1,1,2,1,1,1,1,4,E- Photos :30s,1,2,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,2,1,1,0,2,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,0,0,0,0,1,1,0,1,Very easy to acess,Nothing,Happiness
0.773195863,17,1,1,1,1,2,1,2,1,1,1,1,2,C- Raptors :30s,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1,2,2,1,2,1,1,1,2,1,2,1,1,2,2,2,2,1,2,2,2,1,1,0,0,0,0,1,1,1,1,It makes life simpler ,Nothing ,I like the product
1.415094376,7,0,0,0,2,1,1,2,1,1,1,1,0,A- Control,2,2,1,2,1,2,2,2,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,,,,,,,,,,,,
0.815217376,15,0,1,0,2,2,1,2,1,2,1,1,3,D- Photos :15s,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,1,2,1,0,2,1,2,2,1,1,2,1,2,2,1,2,2,1,1,1,1,1,0,0,1,0,2,2,choose freely digital photo,nothing,nothing
0.789473712,17,1,1,1,1,1,1,2,2,2,1,1,0,A- Control,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,2,1,2,1,3,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,,,,,,,,,,,,
1.037671208,18,1,0,0,1,2,1,2,2,2,1,1,5,F- Frozen :15s,1,2,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,2,1,1,2,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,0,0,1,1,1,0,0,0,1,The main idea is that it is trying to convince me to buy the product.,I dislike the different colours that appeared.,I like the fact that it was very clear to understand.
0.789473712,2,0,1,1,1,1,1,2,1,1,1,1,0,A- Control,1,1,1,2,1,1,2,2,1,1,1,2,2,2,1,1,2,2,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,,,,,,,,,,,,
0.707943916,13,1,1,0,1,1,1,2,1,1,1,1,5,F- Frozen :15s,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,1,1,1,1,0,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,2,1,It can read stories,Don't like Frozen,Google is great
0.773195863,15,2,1,0,1,1,2,2,2,1,1,1,2,C- Raptors :30s,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,1,2,4,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,0,1,0,0,0,1,2,2,1,Showing the comfort and connection it brings to their home and daily lives ,Noting ,Every thing 
0.773195863,6,0,1,1,2,2,2,2,1,1,1,1,2,C- Raptors :30s,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1,2,2,1,2,1,0,2,1,1,2,1,1,1,2,2,2,2,2,1,2,1,2,1,1,1,1,1,2,1,2,It has endless possibilities ,Semi boring ,The actual Nest imaging 
0.808510661,1,0,1,1,1,1,1,1,1,2,1,1,4,E- Photos :30s,1,1,1,1,2,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,3,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,,,,,,,,,,,,
0.808510661,15,2,1,1,2,2,2,2,2,1,1,1,4,E- Photos :30s,2,2,2,2,2,2,2,2,1,1,2,2,1,2,1,2,2,1,1,1,0,2,2,2,2,1,1,2,2,2,1,2,1,1,1,1,1,1,0,0,0,1,1,2,1,"It’s like a helping hand, there to simplify your life and make day to day easier. ",I can’t say anything I disliked it. ,It was original and authentic. 
0.808510661,16,1,1,1,1,1,1,1,1,1,1,2,4,E- Photos :30s,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,0,0,0,0,2,0,1,0,I think it’s nice. ,Nothing really to dislike ,I think the ad is very interesting. 
1.102941155,19,0,0,1,1,2,1,2,1,2,1,1,2,C- Raptors :30s,1,1,1,2,2,2,1,1,1,1,2,2,1,2,1,1,1,1,1,2,3,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,1,1,2,1,1,Easy to use Google Nest.,Nothing,Good story
1.169230819,21,0,0,0,2,2,2,1,1,1,1,1,4,E- Photos :30s,1,1,2,1,1,1,2,2,1,1,2,2,2,1,1,2,1,1,1,1,0,2,1,1,1,1,1,2,1,2,2,2,1,1,1,1,2,0,0,1,0,1,2,2,2,Able to help you organize your houses devices ,The persons speaking in the video was not very appealing ,It told you what the Google best is caple of
0.815217376,17,1,1,1,1,1,2,1,1,1,1,1,3,D- Photos :15s,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,1,4,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,3,3,1,3,2,2,1,To control your house no thanks ,The product ,All ads *&@!#
1.119403005,23,1,0,0,1,1,1,1,2,1,1,1,0,A- Control,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,,,,,,,,,,,,
0.773195863,5,0,1,1,1,2,1,1,1,1,1,1,2,C- Raptors :30s,2,2,1,2,1,1,2,2,1,1,2,2,1,2,1,2,2,1,2,1,3,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,It’s a google assistant that does some tasks for you when you speak to it. ,Kind of rushed. ,I liked how they used a NBA player and were able to communicate what exactly the product was. 
0.808510661,7,1,1,1,1,1,2,1,2,1,1,1,4,E- Photos :30s,2,2,2,2,2,2,2,1,1,1,2,2,2,2,1,1,2,2,2,1,1,1,1,2,2,2,1,2,1,1,1,1,1,2,1,1,2,0,1,1,0,1,1,1,1,That the smart nest is a premuuum technology ,,Everything. It was well laid out. 
1.048611164,31,1,0,0,2,2,2,2,1,2,1,1,1,B- Raptors :15s,2,2,2,2,2,2,1,1,1,1,2,2,1,1,1,2,1,1,1,1,0,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,0,1,0,0,0,0,0,0,The main message from this ad is Google home nest has capabilities beyond one can imagine ,Nothing comes to mind ,I liked that a Toronto Raptor Basketball player is in this ad 
0.815217376,15,2,1,1,1,1,2,1,1,1,1,1,3,D- Photos :15s,2,1,1,2,1,1,1,2,1,1,2,1,1,2,1,2,1,1,2,1,3,2,2,1,1,1,1,2,1,2,1,1,2,2,2,1,0,0,0,0,0,0,1,0,0,It is very helpful for the family and unique,Nothing,It’s very interesting and appealing 
0.629166663,10,0,1,1,2,2,1,2,1,1,1,1,1,B- Raptors :15s,2,2,2,2,2,2,2,2,1,1,2,1,1,2,1,1,1,1,1,2,3,2,2,2,1,1,1,1,2,2,1,1,2,1,1,1,2,0,0,0,1,2,0,2,2,"There are many things that can be done from asking questions, asking to do sonething",Noting,Showed features
0.903614461,20,0,1,1,1,1,2,1,1,1,1,1,2,C- Raptors :30s,2,2,1,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,0,1,0,1,1,Useful for everyday life,Nothing,All of it
0.852272749,22,0,1,1,1,1,1,1,1,2,1,1,3,D- Photos :15s,2,1,1,2,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,2,1,0,Takes nice photos,Nothing,The pictures 
1.048611164,21,0,0,1,2,2,2,2,1,1,1,1,1,B- Raptors :15s,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,1,1,2,1,0,2,2,1,1,1,1,2,1,2,1,1,2,1,1,1,1,3,3,3,1,1,0,2,1,Easy to get things done with google home hub ,Too repetitive,Showed me the features of the google home 
